ID,Score
8000,2.0
8001,2.0
8002,2.0
8003,2.0
8004,2.0
8005,2.0
8006,2.0
8007,2.0
8008,2.0
8009,2.0
8010,2.0
8011,2.0
8012,2.0
8013,2.0
8014,2.0
8015,2.0
8016,2.0
8017,2.0
8018,2.0
8019,2.0
8020,2.0
8021,2.0
8022,2.0
8023,2.0
8024,2.0
8025,3.0
8026,3.0
8027,3.0
8028,3.0
8029,2.0
8030,2.0
8031,2.0
8032,1.0
8033,2.0
8034,2.0
8035,2.0
8036,2.0
8037,2.0
8038,3.0
8039,3.0
8040,2.0
8041,2.0
8042,2.0
8043,2.0
8044,2.0
8045,2.0
8046,2.0
8047,3.0
8048,3.0
8049,3.0
8050,3.0
8051,2.0
8052,2.0
8053,2.0
8054,2.0
8055,2.0
8056,2.0
8057,2.0
8058,2.0
8059,2.0
8060,2.0
8061,2.0
8062,2.0
8063,2.0
8064,2.0
8065,2.0
8066,2.0
8067,2.0
8068,2.0
8069,2.0
8070,2.0
8071,2.0
8072,3.0
8073,3.0
8074,3.0
8075,3.0
8076,3.0
8077,2.0
8078,2.0
8079,1.0
8080,1.0
8081,1.0
8082,1.0
8083,2.0
8084,2.0
8085,2.0
8086,2.0
8087,1.0
8088,1.0
8089,2.0
8090,2.0
8091,2.0
8092,1.0
8093,2.0
8094,2.0
8095,3.0
8096,3.0
8097,3.0
8098,3.0
8099,3.0
8100,3.0
8101,2.0
8102,2.0
8103,2.0
8104,2.0
8105,2.0
8106,2.0
8107,2.0
8108,2.0
8109,2.0
8110,2.0
8111,3.0
8112,2.0
8113,2.0
8114,2.0
8115,2.0
8116,2.0
8117,2.0
8118,2.0
8119,2.0
8120,3.0
8121,3.0
8122,3.0
8123,3.0
8124,2.0
8125,2.0
8126,1.0
8127,1.0
8128,1.0
8129,1.0
8130,1.0
8131,2.0
8132,2.0
8133,2.0
8134,2.0
8135,2.0
8136,2.0
8137,2.0
8138,2.0
8139,2.0
8140,3.0
8141,3.0
8142,3.0
8143,3.0
8144,3.0
8145,2.0
8146,2.0
8147,2.0
8148,2.0
8149,2.0
8150,2.0
8151,2.0
8152,2.0
8153,2.0
8154,2.0
8155,2.0
8156,2.0
8157,2.0
8158,2.0
8159,2.0
8160,2.0
8161,2.0
8162,2.0
8163,2.0
8164,2.0
8165,2.0
8166,2.0
8167,2.0
8168,2.0
8169,2.0
8170,2.0
8171,3.0
8172,3.0
8173,2.0
8174,1.0
8175,1.0
8176,2.0
8177,2.0
8178,1.0
8179,2.0
8180,2.0
8181,2.0
8182,2.0
8183,2.0
8184,2.0
8185,2.0
8186,2.0
8187,2.0
8188,2.0
8189,3.0
8190,3.0
8191,3.0
8192,3.0
8193,2.0
8194,2.0
8195,2.0
8196,2.0
8197,2.0
8198,2.0
8199,2.0
8200,2.0
8201,2.0
8202,2.0
8203,2.0
8204,2.0
8205,2.0
8206,2.0
8207,2.0
8208,2.0
8209,2.0
8210,2.0
8211,2.0
8212,2.0
8213,2.0
8214,2.0
8215,2.0
8216,2.0
8217,2.0
8218,2.0
8219,3.0
8220,3.0
8221,2.0
8222,2.0
8223,1.0
8224,2.0
8225,2.0
8226,1.0
8227,2.0
8228,2.0
8229,2.0
8230,2.0
8231,2.0
8232,2.0
8233,2.0
8234,3.0
8235,3.0
8236,3.0
8237,3.0
8238,3.0
8239,2.0
8240,2.0
8241,2.0
8242,2.0
8243,2.0
8244,2.0
8245,2.0
8246,2.0
8247,2.0
8248,2.0
8249,2.0
8250,2.0
8251,2.0
8252,3.0
8253,2.0
8254,2.0
8255,2.0
8256,2.0
8257,2.0
8258,2.0
8259,2.0
8260,2.0
8261,2.0
8262,2.0
8263,2.0
8264,2.0
8265,2.0
8266,2.0
8267,2.0
8268,2.0
8269,2.0
8270,2.0
8271,2.0
8272,2.0
8273,2.0
8274,2.0
8275,2.0
8276,2.0
8277,2.0
8278,2.0
8279,2.0
8280,2.0
8281,2.0
8282,2.0
8283,2.0
8284,2.0
8285,2.0
8286,2.0
8287,2.0
8288,2.0
8289,2.0
8290,2.0
8291,2.0
8292,2.0
8293,2.0
8294,2.0
8295,2.0
8296,2.0
8297,2.0
8298,1.0
8299,2.0
8300,2.0
8301,2.0
8302,2.0
8303,2.0
8304,2.0
8305,2.0
8306,1.0
8307,2.0
8308,2.0
8309,2.0
8310,2.0
8311,2.0
8312,2.0
8313,2.0
8314,2.0
8315,2.0
8316,2.0
8317,2.0
8318,2.0
8319,2.0
8320,2.0
8321,2.0
8322,2.0
8323,2.0
8324,2.0
8325,2.0
8326,2.0
8327,2.0
8328,2.0
8329,2.0
8330,2.0
8331,2.0
8332,2.0
8333,2.0
8334,2.0
8335,2.0
8336,2.0
8337,2.0
8338,2.0
8339,2.0
8340,2.0
